,block,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,lon,lat
0,060750132003,2002-10-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.44458,37.791653
1,060750202002,2007-02-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42439,37.76721
2,060750120001,2019-11-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.418526,37.788204
3,060750158012,2019-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.4375,37.77982
4,060750103002,2019-08-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41251,37.800182
5,060750103002,2019-08-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41251,37.800182
6,060750228011,2006-02-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41158,37.761677
7,060750207002,2018-12-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42223,37.75684
8,060750128001,2007-09-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.43889,37.797142
9,060750479021,2001-12-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.50885,37.778996
10,060750108001,2018-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.41513,37.798027
11,060750611002,2018-10-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40485,37.794662
12,060750304003,2001-06-07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-122.46847,37.748543
13,060750122012,2018-07-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4169,37.784348
14,060750153001,1999-10-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.435936,37.78671
15,060750402003,2018-04-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.46711,37.78283
16,060750257022,2017-12-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40758,37.730595
17,060750124022,2017-11-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41794,37.77696
18,060750256004,2017-09-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42149,37.728592
